Team_within_selected_timeframe,colors_in,colors_border
Bohemians,black,red
Derry City,red,black
Drogheda United,indianred4,cyan2
Dundalk,lightcyan2,black
Finn Harps,blue,green4
Shamrock Rovers,green,green4
Shelbourne,red,firebrick
Sligo Rovers,red,firebrick
St. Patrick's Ath.,gainsboro,firebrick3
UCD,cyan2,darkblue
Athlone Town,blue4,darkblue
Bray Wanderers,green4,gold1
Cobh Ramblers,firebrick,red4
Cork City,forestgreen,red
Galway United,firebrick4,gold1
Longford Town,black,red
Treaty United,red,dodgerblue2
Waterford FC,blue,navy
Wexford,deeppink,black
