Team_within_selected_timeframe,colors_in,colors_border
Arsenal,red,firebrick
Aston Villa,indianred4,cyan2
Bournemouth,black,red
Brentford,red,black
Brighton,blue,gold1
Chelsea,dodgerblue3,blue
Crystal Palace,red,blue
Everton,blue,black
Fulham,lightcyan2,black
Leeds United,lightcyan2,gold1
Leicester City,navy,gold1
Liverpool,red,gold1
Manchester City,cyan2,darkblue
Manchester United,firebrick3,black
Newcastle United,black,gold1
Nottingham Forest,red,firebrick
Southampton,red,black
Tottenham Hotspur,lightcyan2,midnightblue
West Ham United,indianred4,cyan2
Wolverhampton Wanderers,goldenrod2,black
Birmingham City,blue,navy
Blackburn Rovers,steelblue1,red
Blackpool,orange,darkorange2
Bristol City,red,firebrick
Burnley,indianred4,cyan2
Cardiff City,blue,yellow
Coventry City,cyan2,darkblue
Huddersfield Town,steelblue1,royalblue4
Hull City,darkorange,black
Luton Town,orange,black
Middlesbrough,red,firebrick
Millwall,darkblue,black
Norwich City,yellow,forestgreen
Preston North End,lightcyan2,midnightblue
Queens Park Rangers,royalblue,yellow3
Reading,blue,red
Rotherham United,red,black
Sheffield United,firebrick1,black
Stoke City,gainsboro,firebrick3
Sunderland,black,firebrick1
Swansea City,lightcyan2,black
Watford,yellow,red
West Bromwich Albion,dimgray,black
Wigan Athletic,dodgerblue3,blue
Accrington Stanley,red,firebrick
Barnsley,firebrick,red
Bolton Wanderers,lightcyan2,midnightblue
Bristol Rovers,royalblue,yellow3
Burton Albion,yellow,black
Cambridge United,gold1,black
Charlton Athletic,red,firebrick
Cheltenham Town,firebrick1,brown4
Derby County,lightcyan2,black
Exeter City,black,firebrick1
Fleetwood Town,red,black
Forest Green Rovers,chartreuse,black
Ipswich Town,blue,red
Lincoln City,firebrick1,black
Milton Keynes Dons,black,gold1
Morecambe,firebrick,firebrick4
Oxford United,yellow,royalblue4
Peterborough United,skyblue,royalblue
Plymouth Argyle,forestgreen,darkgreen
Port Vale,dimgray,gold1
Portsmouth,blue,gold1
Sheffield Wednesday,steelblue1,royalblue4
Shrewsbury Town,navy,darkorange
Wycombe Wanderers,cyan2,darkblue
AFC Wimbledon,navy,yellow
Barrow,lightcyan2,midnightblue
Bradford City,gold,firebrick
Carlisle United,blue,red
Colchester United,royalblue,yellow3
Crawley Town,red,firebrick
Crewe Alexandra,red,firebrick
Doncaster Rovers,red,black
Gillingham,blue4,darkblue
Grimsby Town,dimgray,black
Harrogate Town,yellow,black
Hartlepool United,steelblue1,royalblue4
Leyton Orient,red,firebrick
Mansfield Town,yellow,blue3
Newport County,orange,black
Northampton Town,firebrick,red4
Rochdale,dodgerblue3,dodgerblue4
Salford City,firebrick3,black
Stevenage,gainsboro,firebrick3
Stockport County,blue,navy
Sutton United,gold1,orangered4
Swindon Town,red,gold1
Tranmere Rovers,lightcyan2,blue
Walsall,red,black
Aldershot Town,firebrick2,blue
Altrincham,red,black
Barnet,darkorange,black
Boreham Wood,lightcyan2,black
Bromley,gainsboro,firebrick4
Chesterfield,blue,navy
Dagenham & Redbridge,firebrick,dodgerblue4
Dorking Wanderers,red,blue
Eastleigh,blue,black
Gateshead,dimgray,black
Halifax Town,blue,gold1
Maidenhead United,black,red
Maidstone United,gold2,black
Notts County,black,gold1
Oldham Athletic,darkblue,red2
Scunthorpe United,indianred4,cyan2
Solihull Moors,yellow,blue
Southend United,midnightblue,black
Torquay United,yellow,darkblue
Wealdstone,royalblue,royalblue4
Woking,firebrick3,black
Wrexham,red,forestgreen
Yeovil Town,forestgreen,gold1
York City,red3,navy
AFC Telford United,lightcyan2,black
Alfreton Town,red3,black
Banbury United,red,yellow
Bath City,black,firebrick
Blyth Spartans,forestgreen,black
Boston United,gold1,black
Brackley Town,gainsboro,firebrick3
Bradford Park Avenue,forestgreen,firebrick3
Braintree Town,orange,blue
Buxton,royalblue,yellow3
Chelmsford City,firebrick,red4
Cheshunt,darkgoldenrod2,black
Chester,blue4,darkgoldenrod1
Chippenham Town,blue3,darkblue
Chorley,black,red
Concord Rangers,yellow,dodgerblue1
Curzon Ashton,blue,navy
Darlington 1883,dimgray,black
Dartford,lightcyan2,black
Dover Athletic,lightcyan2,black
Dulwich Hamlet,deeppink,darkorchid4
Eastbourne Borough,firebrick2,black
Ebbsfleet United,firebrick2,gold1
Farnborough,gold1,navy
Farsley Celtic FC,green,green4
Fylde,firebrick2,blue3
Gloucester City,gold1,red2
Hampton & Richmond,navy,red2
Havant & Waterlooville,yellow,blue
Hemel Hempstead Town,red,firebrick
Hereford FC,lightcyan2,black
Hungerford Town,lightcyan2,midnightblue
Kettering Town,red,black
Kidderminster Harriers,red,firebrick
King's Lynn Town,royalblue,yellow3
Leamington,gold2,black
Oxford City,steelblue1,royalblue4
Peterborough Sports,blue,yellow
Scarborough Athletic,red4,black
Slough Town,orange,black
Southport,yellow,black
Spennymoor Town,dimgray,black
St. Albans City,yellow,navy
Taunton Town,indianred4,cyan2
Tonbridge Angels,dodgerblue,dodgerblue4
Welling United,red,firebrick
Weymouth,cyan2,indianred4
Worthing,red,firebrick
Aberdeen,red,firebrick
Celtic,green,green4
Dundee United,darkorange,black
Hearts,firebrick,red4
Hibernian,green,black
Kilmarnock,steelblue1,royalblue4
Livingston,yellow,black
Motherwell,gold,firebrick
