Team_within_selected_timeframe,colors_in,colors_border
Aberdeen,red,firebrick
Celtic,green,green4
Dundee United,darkorange,black
Hearts,firebrick,red4
Hibernian,green,black
Kilmarnock,steelblue1,royalblue4
Livingston,yellow,black
Motherwell,gold,firebrick
Rangers,blue,red
Ross County,black,red
St. Johnstone,royalblue,yellow3
St. Mirren,black,gold1
Arbroath,firebrick,red4
Ayr United,black,navy
Cove Rangers,dodgerblue3,dodgerblue4
Dundee,midnightblue,black
Greenock Morton,lightcyan2,midnightblue
Hamilton Academical,red,firebrick
Inverness CT,blue,red
Partick Thistle,yellow,red
Queen's Park,dimgray,black
Raith Rovers,firebrick,navy
