Team_within_selected_timeframe,colors_in,colors_border
Birmingham City,blue,navy
Blackburn Rovers,steelblue1,red
Blackpool,orange,darkorange2
Bristol City,red,firebrick
Burnley,indianred4,cyan2
Cardiff City,blue,yellow
Coventry City,cyan2,darkblue
Huddersfield Town,steelblue1,royalblue4
Hull City,darkorange,black
Luton Town,orange,black
Middlesbrough,red,firebrick
Millwall,darkblue,black
Norwich City,yellow,forestgreen
Preston North End,lightcyan2,midnightblue
Queens Park Rangers,royalblue,yellow3
Reading,blue,red
Rotherham United,red,black
Sheffield United,firebrick1,black
Stoke City,gainsboro,firebrick3
Sunderland,black,firebrick1
Swansea City,lightcyan2,black
Watford,yellow,red
West Bromwich Albion,dimgray,black
Wigan Athletic,dodgerblue3,blue
