Country,colors_in,colors_border
Albania,red3,black
Andorra,red,blue
Armenia,darkorange2,firebrick2
Austria,firebrick1,black
Azerbaijan,dodgerblue3,forestgreen
Belarus,firebrick1,green3
Belgium,firebrick3,goldenrod2
Bosnia and Herzegovina,blue,gold
Bulgaria,green3,firebrick1
Croatia,lightcyan,firebrick1
Cyprus,gold,blue
Czech Republic,firebrick1,dodgerblue3
Denmark,firebrick1,firebrick4
England,ghostwhite,red
Estonia,dodgerblue4,black
Faroe Islands,lightskyblue,dodgerblue4
Finland,lightcyan,dodgerblue4
France,blue,firebrick2
Georgia,gainsboro,firebrick3
Germany,black,gold3
Gibraltar,red,red2
Greece,royalblue1,blue
Hungary,firebrick1,green3
Iceland,dodgerblue2,firebrick1
Israel,cyan,blue3
Italy,royalblue1,gold3
Kazakhstan,yellow,steelblue1
Kosovo,dodgerblue,gold
Latvia,firebrick4,darkred
Liechtenstein,blue,red
Lithuania,yellow,forestgreen
Luxembourg,cyan2,firebrick1
Malta,red,darkred
Moldova,gold,blue
Montenegro,red,gold
Netherlands,darkorange1,black
North Macedonia,gold,red
Northern Ireland,forestgreen,black
Norway,firebrick2,darkblue
Poland,lavenderblush,firebrick2
Portugal,firebrick,forestgreen
Republic of Ireland,green2,forestgreen
Romania,yellow,firebrick2
Russia,firebrick4,goldenrod
San Marino,turquoise1,dodgerblue3
Scotland,dodgerblue4,goldenrod
Serbia,firebrick2,firebrick3
Slovakia,lightcyan,dodgerblue3
Slovenia,lightskyblue,forestgreen
Spain,red2,navy
Sweden,yellow,mediumblue
Switzerland,firebrick1,firebrick4
Turkey,red3,red4
Ukraine,yellow,dodgerblue4
Wales,firebrick1,forestgreen
