Team_within_selected_timeframe,colors_in,colors_border
Accrington Stanley,red,firebrick
Barnsley,firebrick,red
Bolton Wanderers,lightcyan2,midnightblue
Bristol Rovers,royalblue,yellow3
Burton Albion,yellow,black
Cambridge United,gold1,black
Charlton Athletic,red,firebrick
Cheltenham Town,firebrick1,brown4
Derby County,lightcyan2,black
Exeter City,black,firebrick1
Fleetwood Town,red,black
Forest Green Rovers,chartreuse,black
Ipswich Town,blue,red
Lincoln City,firebrick1,black
Milton Keynes Dons,black,gold1
Morecambe,firebrick,firebrick4
Oxford United,yellow,royalblue4
Peterborough United,skyblue,royalblue
Plymouth Argyle,forestgreen,darkgreen
Port Vale,dimgray,gold1
Portsmouth,blue,gold1
Sheffield Wednesday,steelblue1,royalblue4
Shrewsbury Town,navy,darkorange
Wycombe Wanderers,cyan2,darkblue
