Team_within_selected_timeframe,colors_in,colors_border
AFC Wimbledon,navy,yellow
Barrow,lightcyan2,midnightblue
Bradford City,gold,firebrick
Carlisle United,blue,red
Colchester United,royalblue,yellow3
Crawley Town,red,firebrick
Crewe Alexandra,red,firebrick
Doncaster Rovers,red,black
Gillingham,blue4,darkblue
Grimsby Town,dimgray,black
Harrogate Town,yellow,black
Hartlepool United,steelblue1,royalblue4
Leyton Orient,red,firebrick
Mansfield Town,yellow,blue3
Newport County,orange,black
Northampton Town,firebrick,red4
Rochdale,dodgerblue3,dodgerblue4
Salford City,firebrick3,black
Stevenage,gainsboro,firebrick3
Stockport County,blue,navy
Sutton United,gold1,orangered4
Swindon Town,red,gold1
Tranmere Rovers,lightcyan2,blue
Walsall,red,black
