Team_within_selected_timeframe,colors_in,colors_border
Arsenal,red,firebrick
Aston Villa,indianred4,cyan2
Bournemouth,black,red
Brentford,red,black
Brighton,blue,gold1
Chelsea,dodgerblue3,blue
Crystal Palace,red,blue
Everton,blue,black
Fulham,lightcyan2,black
Leeds United,lightcyan2,gold1
Leicester City,navy,gold1
Liverpool,red,gold1
Manchester City,cyan2,darkblue
Manchester United,firebrick3,black
Newcastle United,black,gold1
Nottingham Forest,red,firebrick
Southampton,red,black
Tottenham Hotspur,lightcyan2,midnightblue
West Ham United,indianred4,cyan2
Wolverhampton Wanderers,goldenrod2,black
